ID,Year,Person,Gender,Party,State,Text
11,2013,"Boyce, Sen Sue",0,LP,QLD,"These aren't appeals to sympathy; they're arguments that same-sex marriage would be good for all of us--and for conservative reasons to boot. Those reasons are the same reasons that those who support marriage as the union between a man and a woman espouse for their marriages. A marriage is a special commitment. A marriage provides more security for those in it, including the children who would be in it. There is no reason not to allow same-sex marriage in Australia. I believe that this bill will assist us in moving towards that. If we are to vote on this bill, I will be supporting it. "
12,2013,"Ludlam, Sen Scott",1,AG,WA,"I rise to support the Marriage Act Amendment (Recognition of Foreign Marriages for Same-Sex Couples) Bill 2013, which my colleague Senator Hanson-Young has brought before the chamber as part of a long and somewhat arduous campaign in favour of something that we in the Australian Greens believe is completely obvious. I want to acknowledge and congratulate Senator Boyce for the contribution that she just made. Those sorts of contributions are all too rare in this place. When people are considering matters and voting on their conscience, the quality of the debate is measurably improved. So thank you, Senator Boyce, for having the courage to do what you have just done. The only qualification I will make is that, in the Australian Greens, we do have a conscience vote on all matters. You have to go back quite some time in the Hansard record to find that being exercised, but we do vote with our conscience on all of these matters. I think it is part of the reason for our success.                 "
13,2013,"Griff, Sen Stirling",1,CA,SA,"This bill represents a significant change to the Sex Discrimination Act and, as such, should not be rushed through this week. There is absolutely no urgency for this bill to be dealt with this week, as particularly religious schools generally don't rely on these provisions in practice. We support the intent of what Labor is trying to do with this bill for the simple reason that we do not support discrimination against students. We support the intent of the Greens to ensure teachers are not discriminated against and we also support the intent of the government to ensure religious freedoms are protected. Our view overall is that this bill should have been sent off for proper inquiry and scrutiny. This would provide all with the necessary time to properly consider all implications and input from stakeholders. As the bill now stands, our party considers the topic one for a conscience vote, but we all came to a united approach on thisand that is that we will support this bill because its intentions align with ours, but we cannot at this stage support any additional amendments. We have been forced into this position because we have not had a real opportunity to consider the implications and unintended consequences of all the amendments.                "
14,2014,"Griff, Sen Stirling",1,CA,SA,"On these amendments we have been hearing, particularly in the last two hours, a very diverse range of viewsmany of them conflictingwhich tells us that even those that seem somewhat straightforward may potentially open a Pandora's box of problems. For instance, we support what the government is seeking to do with ensuring teachers can teach in accordance with their faith. But this may simply create an avenue for discriminatory treatment of students to creep in. We are also unsure that we need to bolt on additional protections to the existing reasonableness test that exists at 7B in the act. Maybe it's appropriate or maybe it is unnecessary. We simply haven't had the time to fully consider the implications, so we will abstain on this and the other government amendments.                 We know there is bipartisan support in this place and the other place for amending the Sex Discrimination Act so that schools cannot discriminate against LGBTQI students and teachers. It is unfortunate that there is no consensus about how to proceed. Labor's bill amends section 37 of the Sex Discrimination Act and repeals section 38(3). In effect, this bill proposes to remove existing protections that currently allow religious schools to discriminate against lesbian, gay, bisexual, transgender, queer and intersex students if it's done in line with their religious doctrine or if it is to avoid injury to the religious susceptibilities of adherents of that religion. We appreciate that this bill makes religious schools very nervous. Removing familiar protections will inevitably have that effect. We accept this might mean religious schools have to rethink their approach to some students in some instances. But, in practice, this should not stop religious schools from teaching their faith. But we also understand that these provisions are not heavily relied on by schools as it is. My office has also been told by Christian school stakeholders that they fear some students might be tempted to make mischief and abuse the weakened protections. I'm not entirely sure how or why a student would do so, especially if they want to be at that school. But that kind of fearmongering misses the point. We need to legislate to protect the rights of the many, not to quash the rights of the many in order to protect against extreme scenarios. This bill may well end up not being legislated. We may yet see other attempts to amend the Sex Discrimination Act. Whatever we are faced with, in this parliament or the next, Centre Alliance will approach it with a view to ensuring equality of treatment for all students, regardless of their sexual orientation or gender identity. This is ultimately about keeping our society moving on a path towards equality and acceptance of all people."
15,2014,"Wong, Sen Penny",0,ALP,SA,"I have spoken on the Second Readingg; I just want to briefly speak to the Second Readingg amendment moved by Senator Collins, which is on sheet 8606. So I rise to speak on that amendment. Today, as I've previously said, we do have an opportunity to do what this parliament too often fails to do; to come together on an issue on which we all agree and change the country for the better. The bill does one thing, and one thing only; that is, to ensure that every Australian child, no matter their gender or sexual orientation, is treated equally. It will make this country a more equal place, nothing more. It won't prevent schools from requiring students to attend chapel, it won't prevent schools from requiring uniforms and it won't preventlet me be very clearthe teaching of religious education. To put that issue beyond doubt, Senator Collins has moved the Second Readingg amendment on sheet 8606 to that effect. I support that amendment.                "
16,2014,"Hanson-Young, Sen Sarah",0,AG,SA,"I rise today to speak in favour of the Marriage Equality Amendment Bill 2010. I also point out to the senators in the chamber and, of course, to those who may be listening to this debate that this also includes amendments that have been circulated since this bill went through a very thorough Senate inquiry. The report of that inquiry determined, in order to put at ease some of the concerns in relation to religious freedom, that the bill be strengthened in that area. That would ensure that for those who want to make sure churches and religious groups can continue to marry those whom they feel they would best like to are able to do so without being impinged upon by any of the changes that this bill would inflict on the Marriage Act. The ability has always been there for religious organisations to determine who they marry and who they do not. We have churches making that decision on a daily basis. The circulated amendments suggest that there is no doubt that that is the case under this bill.                "
17,2014,"Hanson-Young, Sen Sarah",0,AG,SA,"The main purpose of this marriage equality bill is to remove the current discrimination in the Marriage Act so as to clearly allow for two people, regardless of their gender, regardless of their sexuality, the legal right to marry. This is a campaign for true equality within the Australian law. It is something that has been fought long and hard, not just here in Australia but also around the world. We know that country after country continues to take up this very, very important cause, putting truth behind the belief for equality for all.                 If this parliament were to agree to this bill and to pass it into law, we could take advantage of the strong opportunity that we know exists for same-sex couples in the Australian community who desperately want the right to marry under law. The parliament could take the opportunity by both hands to make a reform that the majority of Australians believe in. The majority of Australians now agree that marriage equality's time has come. Poll after poll has proven that there has been a shift in the mindset of the Australian community to accept that true equality must include the amendments to the Marriage Act to allow equality to reign in love. That is what this bill proposes to do."
18,2015,"Hanson-Young, Sen Sarah",0,AG,SA,"There is huge support for marriage equality in Australia, and the parliament that gets it right, the parliament that can take hold of this need and desire for and belief in equality, will be a parliament that the Australian public congratulates wholeheartedly. We know that support for this reform crosses all boundaries cities, suburbs, regional areas, the bush, as well as the various political parties. The majority of coalition voters support marriage equality. The majority of Christian Australians support marriage equality. We have had representatives from various religious organisations and churches walk the halls of this place asking us to give all Australians a fair go by ensuring that the institution of marriage can be strengthened for evermore and that the strength that marriage gives families can be recognised by this parliament.                 The importance of allowing two people's relationship to be understood and defined by the universal language of marriage and love is something that MPs in this place should grab hold of; they should stand tall and accept that we are doing a good thing. The majority of Australians believe that this is the right thing to do, and more and more people agree that this change should happen. The fight for marriage equality is not going to be won and lost in this place; it has already been won out there in the Australian community. It is now up to this place to recognise that, unlike some issues, where we are leading the way, in this one, unfortunately, we are following. But we can turn that around and accept that if Cupid does not discriminate neither should the law. Love is love and equality does matter.             "
19,2015,"Brandis, Sen George",1,LP,QLD,"Let me very briefly state to the Senate the coalition's position on the Marriage Equality Amendment Bill 2010. The coalition made an undertaking to the Australian people at the 2010 election that we would support the existing definition of marriage and, having made that undertaking to the Australian people, we are not going to act at variance to it. The Labor Party has changed its position, because Julia Gillard gave a similar undertaking to the Australian people at the 2010 election but subsequently facilitated arrangements within the Labor Party to allow that undertaking to be vacated. When we in the coalition give an undertaking to the public we stick by it, whether it be on the carbon tax, private health insurance, or any issue, and this is one such issue.                 After listening to Senator Sarah Hanson-Young's speech I am bound to say that one would have thought there was only one available view. Senator Hanson-Young, I have to tell you that yours is not the only view. Much as those who advocate your view do so, I am sure, in good faith, you will not win this argument by seeking to silence alternative views. People are entitled to have their own views about marriage, as you have yours. People who have a more conservative view than yours about marriage are as much within their rights as you are."
20,2015,"Brandis, Sen George",1,LP,QLD,"To me, your bill is a bill about marriage but it is not a bill about equality. Equality for same-sex people was won in this parliament, in this Senate, with the support of all parties, including mine, by the amendments that were made to a suite of Commonwealth statutes in 2008. I said at the time that it had been too long in coming. I had myself, within the Howard government, been agitating for that for years, as many of my colleagues had been. But after those bills were passed with the support of all parties there was no Commonwealth law which treated same-sex people in relationships any differently than opposite-sex people in a relationship.                 But your bill is not about equality, Senator Hanson-Young, even though you claim that it is; it is about marriage. Marriage is an institution defined by custom, religion and law, or at least by some of those things. For you to have discovered that an institution which has been understood to mean one particular thing for the entire history of humanity is, all of a sudden, a fundamentally unjust institution, as it is understood according to its traditional conception, is an extraordinary impertinence. When you use the phrase, 'Let us put behind us the dark pages of history,' do you really think, Senator Sarah Hanson-Young, that history began with you? Do you seriously think that the human conscience began with you? Or do you not allow for the fact that, just as you have your views, which I am sure are held in good faith, other people have their views which are also held in good faith. Those views reflect the entire understanding and the entire course of human history of what a marriage is, and you should, if I may say so, pay a little more respect to those who do not agree with you."
21,2015,"Urquhart, Sen Anne",0,ALP,TAS,"I stand in this place as one of many strong supporters for marriage equality in the Labor Party. Marriage equality for many in our party fits with our values of fairness, equality, family and compassion, as well as reason, logic and progress. Values of fairness include fairness to all in our community, fairness for all those in our society who are doing it tough for many reasons, fairness to those who have a disability, fairness to those who are less fortunate, and fairness to have the opportunity to succeed regardless of circumstance. Values of equality include equality to all those in our society regardless of gender, religion, race, sexual orientation and age; and equality for those in our society about how they live their lives and the opportunities they should receive.                 Values of family stand whatever the make-up of that family is. Families today are very different to what history would define a family to be. Regardless of how a family is made up, the support from a family unit is now as important to individuals and to the community as ever."
22,2015,"Hanson-Young, Sen Sarah",0,AG,SA,"The Marriage Equality Amendment Bill 2013 seeks to amend the Marriage Act 1961 to provide equality for same-sex couples. The Bill removes the existing discrimination in the federal Marriage Act that confines marriage to between a man and a woman. It redefines marriage as being between two people regardless of their sex, sexual orientation or gender identity. The Australian Greens share the view of the majority of Australians that the time for marriage equality has come. The call for marriage equality has huge community momentum and it is growing day by day. The most recent national survey found that 62% of Australians believe same-sex couples should be able to marry, and 75% of Australians believe federal reform is inevitable."
23,2016,"Hanson-Young, Sen Sarah",0,AG,SA," This is the fourth time I have introduced a bill for marriage equality. The Senate conducted in-depth inquires into two of my bills which highlighted the significant community interest in marriage equality. In 2009, the inquiry into my bill received more than 25,000 submissions. The senate inquiry into my second bill in 2012 set a new record of 75,000 submissions, the majority of which were supportive of the bill. It is clear there is enormous community passion for this.                 The inquiry into my bill recommended that, with a few small amendments, the bill should pass. Sadly, in 2012 we saw votes in both the House of Representatives and in the Senate on government marriage equality bills that were carefully orchestrated to fail. The Leader of the Opposition chose to buck the traditional approach of his party by refusing Coalition members a conscience vote. Meanwhile the then Prime Minister failed to have her members support the ALP's own policy of supporting marriage equality by insisting on a conscience vote."
24,2016,"Hanson-Young, Sen Sarah",0,AG,SA," In Australia, the states and territories are continuing to show the way, with Greens and non-Greens bills for state marriage equality across the nation. States such as Tasmania, South Australia and New South Wales have shown cross-party cooperation and are closer to achieving marriage equality than ever before.                  Since I introduced my first marriage equality bill, many state Parliaments have acted to deliver human rights for Gay Lesbian Bisexual Transgender and Intersex Australians. While no substitute for marriage, Tasmania has legislated for civil unions and New South Wales has legislated for same-sex parenting rights. These are important and historic reforms and the efforts of MPs and advocates in our states and territories are to be admired and acknowledged. But it is federal marriage equality that the community wants most of all. That is why today I stand to introduce this Bill, to assure gay and lesbian Australians that there are people in this place who believe all relationships should be recognised as equal under the law."
25,2016,"Hanson-Young, Sen Sarah",0,AG,SA,"Marriage provides couples, families and the general community with a universal language for love, commitment and relationships. It is also one of the universal legal and social institutions through which we find connection and belonging, not only with our partner, but with our families and communities.                 It is time for Australia to join comparable countries like the United Kingdom, France and our neighbours, New Zealand, and legislate for marriage equality. I know that there are good people in this place that support equality for all Australians, and that is why today I am calling on those members to co-sponsor my Bill. It is now time for parliamentarians from across political divides to work together and deliver on federal marriage equality. It is only through the combined efforts that we can really achieve equality for all. Senator HANSON-YOUNG:                       I seek leave to make a very short statement. The PRESIDENT:  Leave is granted for one minute, Senator Hanson-Young."
26,2016,"Hanson-Young, Sen Sarah",0,AG,SA,"At the exact same time that I have introduced this bill, we have just heard reports that the ACT marriage laws have been overturned by the High Court. This means that this bill is more important than ever for people living not just in the ACT in Canberra but throughout our entire nation who want to see progression towards marriage equality. It is an important day but obviously a very sad day for people who have only just had their marriages celebrated over the weekend and the days following. There will be a lot of broken hearts here in Canberra this afternoon. I seek leave to continue my remarks later. "
27,2016,"Leyonhjelm, Sen David",1,LDP,NSW,"However, it is also true that, now Malcolm Turnbull is Prime Minister, my original fear Tony Abbott sabotaging the plebiscite process will not come to pass. I had visions of a question so convoluted it made no sense, or something absurd enough for a Monty Python sketch perhaps from the hallowed halls of the Philosophy Department at the University of Woolloomooloo! Despite my reservations about voting on other people's rights, I do think that, if we are stuck with a plebiscite, we should hold it at the same time as the next federal election. Holding the plebiscite at the same time as the next election has two advantages. The first is that we save $160 million of taxpayers' money what the AEC advises a stand-alone plebiscite would cost. The second is there will be less of a spotlight on the issue, and we can moderate the worst excesses of the people who have taken the time to write me so many lovely, lovely letters so far! Elections are always about a range of issues same-sex marriage would be just one among many. I commend the bill to the Senate.                "
28,2017,"Dastyari, Sen Sam",1,ALP,QLD,"I want to begin by acknowledging that a lot of other senators have done a lot of work in this space over the past few years, especially in terms of different pieces of legislation and different approaches. I want to acknowledge that, as he pointed out, Senator Leyonhjelm had introduced a bill into this chamber. Others, including Senator Wong and cross-party people like Senator Hanson-Young, have done a lot of work in this space, and I think it should be acknowledged.                 I commend Senator Simms for bringing this debate to us; it is an important debate for us to have. I want to reject this idea that says that we cannot have a sophisticated debate or that we should not have this debate simply because it is too divisive or it has already been said. I think this is an important part of social policy, and it is an important role of the Senate to talk about it."
29,2017,"Dastyari, Sen Sam",1,ALP,QLD,"I do want to put my views on record. I do not believe I have ever spoken publicly about my views on marriage equality. I have been reported and recorded in different kinds of lists that get emailed around as being a supporter of marriage equality. I certainly am, but I am also a very big supporter of an acknowledgement of the fact that there are a range of very different views. There are certainly a range of different views within my political party, the Australian Labor Party. For me, the notion that we would not support marriage equality is something that I find difficult to understand. I find the arguments against it difficult to understand. I think the case for marriage equality is there. I acknowledge there are others, however, who do not necessarily share those views. When we are talking about a debate like this, a debate that needs to be focused on understanding and tolerance, it is very important that we recognise that there are going to be so many different views out there.                "
30,2017,"Dastyari, Sen Sam",1,ALP,QLD,"I will be honest: I think a lot of this is a generational challenge and issue. It is a generational issue as well. The data and the research overwhelmingly demonstrate that younger Australians tend to have a much stronger view towards supporting marriage equality than older Australians. The challenge and opportunity will be, as this happens, for us to be able to build on that.                 I support marriage equality. I support this bill. In doing so, I also support the Labor Party position, which is that we have to recognise and understand that not everyone shares the same view and that there are people who even though I disagree with their arguments and I disagree with their judgement have, through good faith, come to a different view. It is a fact that there is a changing debate out there in the community. The views of the community are starting to shift and have shifted dramatically on this issue. That is a positive thing and I believe and hope that, during my time in this chamber, there will be an opportunity to vote for a bill providing for marriage equality that will eventually be supported."
31,2017,"Canavan, Sen Matthew",1,Nats,QLD,"I would like to start off where Senator Dastyari left off: I think all views should be respected in this debate, and I certainly respect colleagues, friends and family who have a different view to my own which is in support of traditional marriage. I also want to say, up-front, that I support the removal of any practical discrimination against homosexuals and same-sex couples. We should ensure that happens. I believe we have largely achieved that, over a period of time. However, if there are instances of discrimination against same-sex couples, they should be removed. Whether or not the definition of marriage in our existing legislation is discrimination itself is a matter for debate, in my view. It is a matter that we need to consider very clearly. We should consider it very clearly because the definition in our Marriage Act today has been the same for centuries for millennia. Not just in our culture and not just in the religions that have been common in this country but in almost every culture in the world, over the span of millennia, marriage has been an institution that enshrines the union of a man and a woman, often with the intention of creating children.                "
32,2017,"Rice, Sen Janet",0,AG,VIC,"This is going to continue until we vote to legalise same-sex marriage, because this is the last state sanctioned discrimination against same-sex attracted and transgendered people, and it is the most important state sanctioned discrimination that still exists. Now in 2016, after 17 bills in the parliament 17 bills since 2004 and after countless hours of debate we can take a crucial step on the path to equal love right now. We are now debating Sarah Hanson-Young's bill, but we have had enough talk. Let's bring on the vote. It is long past time. If we ring the bells now we can be hearing wedding bells in no time. We do not need extra time for debate. The Labor Party was confident that the numbers were there earlier this week, so let's get this long overdue reform through the Senate and get it through today. We need a vote this morning. Labor, it seems, want to vote to keep on talking. We want to vote to change the law.                "
33,2017,"Rice, Sen Janet",0,AG,VIC,"If Labor's position on same-sex marriage were motivated by a genuine desire to win the vote, not to sabotage Senate voting reform, then there is no reason why we cannot just vote on the bill this morning, without delay. We are ready to vote. We are ready to vote 'yes'. But we are not going to be bullied on unrelated pieces of legislation. We have got time this morning to vote and we can do it, so I am calling on Labor. Labor are saying that they are committed to equal marriage. Labor are saying they want to have a vote on equal marriage, so I am calling on Labor to allow it. Labor, we can do it this morning. There are people's lives that are dependent on this. There is Penny's and my life, there are other people in this parliament's lives, there are the lives of the people that I have talked about this morning.                "
34,2017,"Rice, Sen Janet",0,AG,VIC,"I am calling on Labor to support this bill going to a vote this morning. If Labor do not support this, maybe it is because they are not confident of getting the outcome, and they are not confident in their numbers. If Labor do not support bringing on a vote this morning then maybe it is just a cynical exploitation of an issue that means so much to so many. And if Labor does not allow a vote today then they are going to be responsible for missing an historic opportunity to vote on this issue. We are ready to bring on a vote today, and we can guarantee with a vote today that every one of our MPs will vote unanimously for marriage equality, because we have done that every vote, every MP, every time. Every time there has been opportunity to vote on marriage equality the Greens have done it 17 bills in this parliament. We will continue to vote for marriage equality because it is so important for ending discrimination against lesbian, gay, bisexual, transgender and intersex people.  We want to see marriage equality. We need to see marriage equality. Now is the time. We can vote on this today, and I call on all people in this place today to be voting for marriage equality, to be voting for love, to be voting for those wedding bells to be ringing as soon as possible.                                "
35,2018,"Macdonald, Sen Ian",1,LP,QLD,"In my long time in this chamber I have heard a number of speeches that were dripping with hypocrisy and insincerity, but the one I heard this morning from the Leader of the Opposition on a formal motion a procedural motion relating to the same subject just about took the cake. I want to explain to those who might be listening to the debate what the coalition's position is. It starts from the premise that, if you are a member of the Liberal and National parties, you go to an election and make a promise, and you make the promise intending that promise to be kept. This subject of same-sex marriage is one that I know raises a lot of emotions on both sides of the debate, and I understand the emotion that is engendered on both sides of the debate.                 But this is an issue that has been around for some time and the coalition have a policy on it. We went to the last election saying that the definition of marriage would stay the same as it is in the Marriage Act for this term of parliament, and that is the commitment we took to the Australian people. I remember that, at the time, the coalition thought long and hard about that policy. We were petitioned by the church groups, if I can loosely label them as that. They had very, very strong views on it and they made a point which resonated with the coalition as a whole. We decided to go to the last election with this commitment to retain the definition of marriage as it is in the Marriage Act."
36,2018,"Macdonald, Sen Ian",1,LP,QLD,"I know Labor senators find it hard to believe that a political party would make a promise, intending to keep it, and then actually keep it. I know that is foreign to the Australian Labor Party. We all remember the promise by the Labor Party: 'There will be no carbon tax under a government I lead.' Having been elected on that promise, what was the first thing that an Australian Labor government did when it took the reins? It introduced a carbon tax the direct opposite of what they had promised before the election. That is not a one-off.                 In the last few days, I have raised a number of times the Keating Labor Party's l-a-w law tax reductions. Remember that? Some senators might have been around then, as I was. Thinking they were going to lose the next election, Mr Keating and the Labor Party actually legislated for tax cuts before the election. It was passed and Mr Keating said: 'It's l-a-w law. These tax cuts will happen. They have been legislated.' Lo and behold, unexpectedly, Mr Keating and the Labor Party won that election. What was the first thing that they did, the first legislative program that they indulged in on being returned to government? It was to renege, to cancel, to abolish that bill giving what was then called the l-a-w law tax cuts."
37,2018,"Hanson-Young, Sen Sarah",0,AG,SA,"RECOGNITION OF FOREIGN MARRIAGES BILL 2014 This Bill amends the Marriage Act 1961 so that same-sex marriages that were validly entered into in foreign countries can be recognised in Australia. Currently international marriages that are entered into by different-sex couples are legally recognised under Australian law. However marriages entered into by same-sex couples are barred from recognition through an explicit prohibition in the Marriage Act. This Bill removes this prohibition and affords full recognition of overseas marriage to couples when they return to Australia, regardless of their gender or sexual orientation. The introduction of this Bill comes at a time when likeminded countries around the world are embracing equality. Britain recently celebrated their first same-sex marriages with couples from all corners of the world travelling great lengths to be the first to marry on British soil. Rainbow flags were hung all over the country to celebrate the occasion and people rejoiced when the first couples said I do""."""
